Actor,Wiki Page,First winning film role or First nomination,Wining role URL,First Year,Last Year
Chris Cooper,https://en.wikipedia.org/wiki/Chris_Cooper,Adaptation,https://en.wikipedia.org/wiki/Adaptation_(film),2002,2002
Gary Cooper,https://en.wikipedia.org/wiki/Gary_Cooper,Sergeant York,https://en.wikipedia.org/wiki/Sergeant_York_(film),1936,1952
Gladys Cooper,https://en.wikipedia.org/wiki/Gladys_Cooper,"Now, Voyager","https://en.wikipedia.org/wiki/Now,_Voyager",1942,1964
Jackie Cooper,https://en.wikipedia.org/wiki/Jackie_Cooper,Skippy,https://en.wikipedia.org/wiki/Skippy_(film),1931,1931
Ellen Corby,https://en.wikipedia.org/wiki/Ellen_Corby,I Remember Mama,https://en.wikipedia.org/wiki/I_Remember_Mama_(film),1948,1948
Valentina Cortese,https://en.wikipedia.org/wiki/Valentina_Cortese,Day for Night,https://en.wikipedia.org/wiki/Day_for_Night_(film),1974,1974
Kevin Costner,https://en.wikipedia.org/wiki/Kevin_Costner,Dances with Wolves,https://en.wikipedia.org/wiki/Dances_with_Wolves,1990,1990
Marion Cotillard,https://en.wikipedia.org/wiki/Marion_Cotillard,La Vie en Rose,https://en.wikipedia.org/wiki/La_Vie_en_rose_(film),2007,2014
Tom Courtenay,https://en.wikipedia.org/wiki/Tom_Courtenay,"Dresser, The",https://en.wikipedia.org/wiki/The_Dresser_(1983_film),1965,1983
Jeanne Crain,https://en.wikipedia.org/wiki/Jeanne_Crain,Pinky,https://en.wikipedia.org/wiki/Pinky_(film),1949,1949
Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,Trumbo,https://en.wikipedia.org/wiki/Trumbo_(2015_film),2015,2015
Broderick Crawford,https://en.wikipedia.org/wiki/Broderick_Crawford,All the King's Men,https://en.wikipedia.org/wiki/All_the_King%27s_Men_(1949_film),1949,1949
Joan Crawford,https://en.wikipedia.org/wiki/Joan_Crawford,Mildred Pierce,https://en.wikipedia.org/wiki/Mildred_Pierce_(film),1945,1952
Donald Crisp,https://en.wikipedia.org/wiki/Donald_Crisp,How Green Was My Valley,https://en.wikipedia.org/wiki/How_Green_Was_My_Valley_(film),1941,1941
James Cromwell,https://en.wikipedia.org/wiki/James_Cromwell,Babe,https://en.wikipedia.org/wiki/Babe_(film),1995,1995
Hume Cronyn,https://en.wikipedia.org/wiki/Hume_Cronyn,"Seventh Cross, The",https://en.wikipedia.org/wiki/The_Seventh_Cross_(film),1944,1944
Bing Crosby,https://en.wikipedia.org/wiki/Bing_Crosby,Going My Way,https://en.wikipedia.org/wiki/Going_My_Way,1944,1954
Rupert Crosse,https://en.wikipedia.org/wiki/Rupert_Crosse,"Reivers, The",https://en.wikipedia.org/wiki/The_Reivers_(film),1969,1969
Lindsay Crouse,https://en.wikipedia.org/wiki/Lindsay_Crouse,Places in the Heart,https://en.wikipedia.org/wiki/Places_in_the_Heart,1984,1984
Russell Crowe,https://en.wikipedia.org/wiki/Russell_Crowe,Gladiator,https://en.wikipedia.org/wiki/Gladiator_(2000_film),1999,2001
Tom Cruise,https://en.wikipedia.org/wiki/Tom_Cruise,Born on the Fourth of July,https://en.wikipedia.org/wiki/Born_on_the_Fourth_of_July_(film),1989,1999
Penélope Cruz,https://en.wikipedia.org/wiki/Pen%C3%A9lope_Cruz,Vicky Cristina Barcelona,https://en.wikipedia.org/wiki/Vicky_Cristina_Barcelona,2006,2009
Benedict Cumberbatch,https://en.wikipedia.org/wiki/Benedict_Cumberbatch,"Imitation Game, The",https://en.wikipedia.org/wiki/The_Imitation_Game,2014,2014
Quinn Cummings,https://en.wikipedia.org/wiki/Quinn_Cummings,"Goodbye Girl, The",https://en.wikipedia.org/wiki/The_Goodbye_Girl,1977,1977
Tony Curtis,https://en.wikipedia.org/wiki/Tony_Curtis,"Defiant Ones, The",https://en.wikipedia.org/wiki/The_Defiant_Ones_(film),1958,1958
Joan Cusack,https://en.wikipedia.org/wiki/Joan_Cusack,Working Girl,https://en.wikipedia.org/wiki/Working_Girl,1988,1997
Willem Dafoe,https://en.wikipedia.org/wiki/Willem_Dafoe,At Eternity's Gate,https://en.wikipedia.org/wiki/At_Eternity%27s_Gate_(film),1986,2018
Dan Dailey,https://en.wikipedia.org/wiki/Dan_Dailey,When My Baby Smiles at Me,https://en.wikipedia.org/wiki/When_My_Baby_Smiles_at_Me_(film),1948,1948
John Dall,https://en.wikipedia.org/wiki/John_Dall,"Corn Is Green, The",https://en.wikipedia.org/wiki/The_Corn_Is_Green_(1945_film),1945,1945
Matt Damon,https://en.wikipedia.org/wiki/Matt_Damon,Good Will Hunting,https://en.wikipedia.org/wiki/Good_Will_Hunting,1997,2015
Dorothy Dandridge,https://en.wikipedia.org/wiki/Dorothy_Dandridge,Carmen Jones,https://en.wikipedia.org/wiki/Carmen_Jones_(film),1954,1954
Bobby Darin,https://en.wikipedia.org/wiki/Bobby_Darin,"Captain Newman, M.D.","https://en.wikipedia.org/wiki/Captain_Newman,_M.D.",1963,1963
Jane Darwell,https://en.wikipedia.org/wiki/Jane_Darwell,"Grapes of Wrath, The",https://en.wikipedia.org/wiki/The_Grapes_of_Wrath_(film),1940,1940
Jaye Davidson,https://en.wikipedia.org/wiki/Jaye_Davidson,"Crying Game, The",https://en.wikipedia.org/wiki/The_Crying_Game,1992,1992
Bette Davis,https://en.wikipedia.org/wiki/Bette_Davis,Dangerous,https://en.wikipedia.org/wiki/Dangerous_(film),1934,1962
Geena Davis,https://en.wikipedia.org/wiki/Geena_Davis,"Accidental Tourist, The",https://en.wikipedia.org/wiki/The_Accidental_Tourist_(film),1988,1991
Judy Davis,https://en.wikipedia.org/wiki/Judy_Davis,"Passage to India, A",https://en.wikipedia.org/wiki/A_Passage_to_India_(film),1984,1992
Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis,Fences,https://en.wikipedia.org/wiki/Fences_(film),2008,2016
Bruce Davison,https://en.wikipedia.org/wiki/Bruce_Davison,Longtime Companion,https://en.wikipedia.org/wiki/Longtime_Companion,1990,1990
Doris Day,https://en.wikipedia.org/wiki/Doris_Day,Pillow Talk,https://en.wikipedia.org/wiki/Pillow_Talk_(film),1959,1959
Daniel Day-Lewis,https://en.wikipedia.org/wiki/Daniel_Day-Lewis,My Left Foot,https://en.wikipedia.org/wiki/My_Left_Foot,1989,2017
Olivia de Havilland,https://en.wikipedia.org/wiki/Olivia_de_Havilland,To Each His Own,https://en.wikipedia.org/wiki/To_Each_His_Own_(film),1939,1949
Robert De Niro,https://en.wikipedia.org/wiki/Robert_De_Niro,Raging Bull,https://en.wikipedia.org/wiki/Raging_Bull,1974,2012
Vittorio De Sica,https://en.wikipedia.org/wiki/Vittorio_De_Sica,"Farewell to Arms, A",https://en.wikipedia.org/wiki/A_Farewell_to_Arms_(1957_film),1957,1957
Marina de Tavira,https://en.wikipedia.org/wiki/Marina_de_Tavira,Roma,https://en.wikipedia.org/wiki/Roma_(2018_film),2018,2018
James Dean,https://en.wikipedia.org/wiki/James_Dean,East of Eden,https://en.wikipedia.org/wiki/East_of_Eden_(film),1955,1956
Ruby Dee,https://en.wikipedia.org/wiki/Ruby_Dee,American Gangster,https://en.wikipedia.org/wiki/American_Gangster_(film),2007,2007
Benicio del Toro,https://en.wikipedia.org/wiki/Benicio_del_Toro,Traffic,https://en.wikipedia.org/wiki/Traffic_(2000_film),2000,2003
William Demarest,https://en.wikipedia.org/wiki/William_Demarest,"Jolson Story, The",https://en.wikipedia.org/wiki/The_Jolson_Story,1946,1946
Judi Dench,https://en.wikipedia.org/wiki/Judi_Dench,Shakespeare in Love,https://en.wikipedia.org/wiki/Shakespeare_in_Love,1997,2013
Catherine Deneuve,https://en.wikipedia.org/wiki/Catherine_Deneuve,Indochine,https://en.wikipedia.org/wiki/Indochine_(film),1992,1992
Sandy Dennis,https://en.wikipedia.org/wiki/Sandy_Dennis,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),1966,1966
Gérard Depardieu,https://en.wikipedia.org/wiki/G%C3%A9rard_Depardieu,Cyrano de Bergerac,https://en.wikipedia.org/wiki/Cyrano_de_Bergerac_(1990_film),1990,1990
Johnny Depp,https://en.wikipedia.org/wiki/Johnny_Depp,Pirates of the Caribbean,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,2003,2007
Bruce Dern,https://en.wikipedia.org/wiki/Bruce_Dern,Nebraska,https://en.wikipedia.org/wiki/Nebraska_(film),1978,2013
Laura Dern,https://en.wikipedia.org/wiki/Laura_Dern,Marriage Story,https://en.wikipedia.org/wiki/Marriage_Story,1991,2019
Brandon deWilde,https://en.wikipedia.org/wiki/Brandon_deWilde,Shane,https://en.wikipedia.org/wiki/Shane_(film),1953,1953
Leonardo DiCaprio,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,"Revenant, The",https://en.wikipedia.org/wiki/The_Revenant_(2015_film),1993,2019
Marlene Dietrich,https://en.wikipedia.org/wiki/Marlene_Dietrich,Morocco,https://en.wikipedia.org/wiki/Morocco_(film),1930,1930
Matt Dillon,https://en.wikipedia.org/wiki/Matt_Dillon,Crash,https://en.wikipedia.org/wiki/Crash_(2004_film),2005,2005
Melinda Dillon,https://en.wikipedia.org/wiki/Melinda_Dillon,Close Encounters of the Third Kind,https://en.wikipedia.org/wiki/Close_Encounters_of_the_Third_Kind,1977,1981
Richard Dix,https://en.wikipedia.org/wiki/Richard_Dix,Cimarron,https://en.wikipedia.org/wiki/Cimarron_(1931_film),1931,1931
Robert Donat,https://en.wikipedia.org/wiki/Robert_Donat,"Goodbye, Mr. Chips","https://en.wikipedia.org/wiki/Goodbye,_Mr._Chips_(1939_film)",1938,1939
Brian Donlevy,https://en.wikipedia.org/wiki/Brian_Donlevy,Beau Geste,https://en.wikipedia.org/wiki/Beau_Geste_(1939_film),1939,1939
Kirk Douglas,https://en.wikipedia.org/wiki/Kirk_Douglas,Champion,https://en.wikipedia.org/wiki/Champion_(1949_film),1949,1956
Melvyn Douglas,https://en.wikipedia.org/wiki/Melvyn_Douglas,Hud,https://en.wikipedia.org/wiki/Hud_(1963_film),1963,1979
Michael Douglas,https://en.wikipedia.org/wiki/Michael_Douglas,Wall Street,https://en.wikipedia.org/wiki/Wall_Street_(1987_film),1987,1987
Brad Dourif,https://en.wikipedia.org/wiki/Brad_Dourif,One Flew Over the Cuckoo's Nest,https://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),1975,1975
Robert Downey Jr.,https://en.wikipedia.org/wiki/Robert_Downey_Jr.,Chaplin,https://en.wikipedia.org/wiki/Chaplin_(film),1992,2008
Louise Dresser,https://en.wikipedia.org/wiki/Louise_Dresser,"Ship Comes In, A",https://en.wikipedia.org/wiki/A_Ship_Comes_In,1928,1928
Marie Dressler,https://en.wikipedia.org/wiki/Marie_Dressler,Min and Bill,https://en.wikipedia.org/wiki/Min_and_Bill,1930,1932
Richard Dreyfuss,https://en.wikipedia.org/wiki/Richard_Dreyfuss,"Goodbye Girl, The",https://en.wikipedia.org/wiki/The_Goodbye_Girl,1977,1995
Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver,Marriage Story,https://en.wikipedia.org/wiki/Marriage_Story_(2019_film),2018,2019
Minnie Driver,https://en.wikipedia.org/wiki/Minnie_Driver,Good Will Hunting,https://en.wikipedia.org/wiki/Good_Will_Hunting,1997,1997
Jean Dujardin,https://en.wikipedia.org/wiki/Jean_Dujardin,"Artist, The",https://en.wikipedia.org/wiki/The_Artist_(film),2011,2011
Olympia Dukakis,https://en.wikipedia.org/wiki/Olympia_Dukakis,Moonstruck,https://en.wikipedia.org/wiki/Moonstruck,1987,1987
Patty Duke,https://en.wikipedia.org/wiki/Patty_Duke,"Miracle Worker, The",https://en.wikipedia.org/wiki/The_Miracle_Worker_(1962_film),1962,1962
Faye Dunaway,https://en.wikipedia.org/wiki/Faye_Dunaway,Network,https://en.wikipedia.org/wiki/Network_(1976_film),1967,1976
Michael Clarke Duncan,https://en.wikipedia.org/wiki/Michael_Clarke_Duncan,"Green Mile, The",https://en.wikipedia.org/wiki/The_Green_Mile_(film),1999,1999
James Dunn,https://en.wikipedia.org/wiki/James_Dunn_(actor),"Tree Grows in Brooklyn, A",https://en.wikipedia.org/wiki/A_Tree_Grows_in_Brooklyn_(1945_film),1945,1945
Michael Dunn,https://en.wikipedia.org/wiki/Michael_Dunn_(actor),Ship of Fools,https://en.wikipedia.org/wiki/Ship_of_Fools_(film),1965,1965
Irene Dunne,https://en.wikipedia.org/wiki/Irene_Dunne,Cimarron,https://en.wikipedia.org/wiki/Cimarron_(1931_film),1931,1948
Mildred Dunnock,https://en.wikipedia.org/wiki/Mildred_Dunnock,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman_(1951_film),1951,1956
Charles Durning,https://en.wikipedia.org/wiki/Charles_Durning,"Best Little Whorehouse in Texas, The",https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_in_Texas_(film),1982,1983
Robert Duvall,https://en.wikipedia.org/wiki/Robert_Duvall,Tender Mercies,https://en.wikipedia.org/wiki/Tender_Mercies,1972,2014
Jeanne Eagels,https://en.wikipedia.org/wiki/Jeanne_Eagels,"Letter, The",https://en.wikipedia.org/wiki/The_Letter_(1929_film),1929,1929
Clint Eastwood,https://en.wikipedia.org/wiki/Clint_Eastwood,Unforgiven,https://en.wikipedia.org/wiki/Unforgiven,1992,2004
Samantha Eggar,https://en.wikipedia.org/wiki/Samantha_Eggar,"Collector, The",https://en.wikipedia.org/wiki/The_Collector_(1965_film),1965,1965
Jesse Eisenberg,https://en.wikipedia.org/wiki/Jesse_Eisenberg,"Social Network, The",https://en.wikipedia.org/wiki/The_Social_Network,2010,2010
Chiwetel Ejiofor,https://en.wikipedia.org/wiki/Chiwetel_Ejiofor,12 Years a Slave,https://en.wikipedia.org/wiki/12_Years_a_Slave_(film),2013,2013
Denholm Elliott,https://en.wikipedia.org/wiki/Denholm_Elliott,"Room with a View, A",https://en.wikipedia.org/wiki/A_Room_with_a_View_(1985_film),1986,1986
Sam Elliott,https://en.wikipedia.org/wiki/Sam_Elliott,"Star Is Born, A",https://en.wikipedia.org/wiki/A_Star_Is_Born_(2018_film),2018,2018
Hope Emerson,https://en.wikipedia.org/wiki/Hope_Emerson,Caged,https://en.wikipedia.org/wiki/Caged,1950,1950
Cynthia Erivo,https://en.wikipedia.org/wiki/Cynthia_Erivo,Harriet,https://en.wikipedia.org/wiki/Harriet_(film),2019,2019
Stuart Erwin,https://en.wikipedia.org/wiki/Stuart_Erwin,Pigskin Parade,https://en.wikipedia.org/wiki/Pigskin_Parade,1936,1936
Edith Evans,https://en.wikipedia.org/wiki/Edith_Evans,"Whisperers, The",https://en.wikipedia.org/wiki/The_Whisperers,1963,1967
Peter Falk,https://en.wikipedia.org/wiki/Peter_Falk,"Murder, Inc.","https://en.wikipedia.org/wiki/Murder,_Inc._(1960_film)",1960,1961
Vera Farmiga,https://en.wikipedia.org/wiki/Vera_Farmiga,Up in the Air,https://en.wikipedia.org/wiki/Up_in_the_Air_(2009_film),2009,2009
Richard Farnsworth,https://en.wikipedia.org/wiki/Richard_Farnsworth,"Straight Story, The",https://en.wikipedia.org/wiki/The_Straight_Story,1978,1999
Michael Fassbender,https://en.wikipedia.org/wiki/Michael_Fassbender,Steve Jobs,https://en.wikipedia.org/wiki/Steve_Jobs_(film),2013,2015
José Ferrer,https://en.wikipedia.org/wiki/Jos%C3%A9_Ferrer,Cyrano de Bergerac,https://en.wikipedia.org/wiki/Cyrano_de_Bergerac_(1950_film),1948,1952
Sally Field,https://en.wikipedia.org/wiki/Sally_Field,Norma Rae,https://en.wikipedia.org/wiki/Norma_Rae,1979,2012
Ralph Fiennes,https://en.wikipedia.org/wiki/Ralph_Fiennes,"English Patient, The",https://en.wikipedia.org/wiki/The_English_Patient_(film),1993,1996
Peter Finch,https://en.wikipedia.org/wiki/Peter_Finch,Network,https://en.wikipedia.org/wiki/Network_(1976_film),1971,1976
Frank Finlay,https://en.wikipedia.org/wiki/Frank_Finlay,Othello,https://en.wikipedia.org/wiki/Othello_(1965_British_film),1965,1965
Albert Finney,https://en.wikipedia.org/wiki/Albert_Finney,Tom Jones,https://en.wikipedia.org/wiki/Tom_Jones_(1963_film),1963,2000
Colin Firth,https://en.wikipedia.org/wiki/Colin_Firth,"King's Speech, The",https://en.wikipedia.org/wiki/The_King%27s_Speech,2009,2010
Peter Firth,https://en.wikipedia.org/wiki/Peter_Firth,Equus,https://en.wikipedia.org/wiki/Equus_(film),1977,1977
Laurence Fishburne,https://en.wikipedia.org/wiki/Laurence_Fishburne,What's Love Got to Do with It,https://en.wikipedia.org/wiki/What%27s_Love_Got_to_Do_with_It_(film),1993,1993
Barry Fitzgerald,https://en.wikipedia.org/wiki/Barry_Fitzgerald,Going My Way,https://en.wikipedia.org/wiki/Going_My_Way,1944,1944
Geraldine Fitzgerald,https://en.wikipedia.org/wiki/Geraldine_Fitzgerald,Wuthering Heights,https://en.wikipedia.org/wiki/Wuthering_Heights_(1939_film),1939,1939
Louise Fletcher,https://en.wikipedia.org/wiki/Louise_Fletcher,One Flew Over the Cuckoo's Nest,https://en.wikipedia.org/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),1975,1975
Nina Foch,https://en.wikipedia.org/wiki/Nina_Foch,Executive Suite,https://en.wikipedia.org/wiki/Executive_Suite,1954,1954
Henry Fonda,https://en.wikipedia.org/wiki/Henry_Fonda,On Golden Pond,https://en.wikipedia.org/wiki/On_Golden_Pond_(1981_film),1940,1981
Jane Fonda,https://en.wikipedia.org/wiki/Jane_Fonda,Klute,https://en.wikipedia.org/wiki/Klute,1969,1986
Peter Fonda,https://en.wikipedia.org/wiki/Peter_Fonda,Ulee's Gold,https://en.wikipedia.org/wiki/Ulee%27s_Gold,1997,1997
Joan Fontaine,https://en.wikipedia.org/wiki/Joan_Fontaine,Suspicion,https://en.wikipedia.org/wiki/Suspicion_(1941_film),1940,1943
Lynn Fontanne,https://en.wikipedia.org/wiki/Lynn_Fontanne,"Guardsman, The",https://en.wikipedia.org/wiki/The_Guardsman,1931,1931
Harrison Ford,https://en.wikipedia.org/wiki/Harrison_Ford,Witness,https://en.wikipedia.org/wiki/Witness_(1985_film),1985,1985
Frederic Forrest,https://en.wikipedia.org/wiki/Frederic_Forrest,"Rose, The",https://en.wikipedia.org/wiki/The_Rose_(film),1979,1979
Robert Forster,https://en.wikipedia.org/wiki/Robert_Forster,Jackie Brown,https://en.wikipedia.org/wiki/Jackie_Brown,1997,1997
Jodie Foster,https://en.wikipedia.org/wiki/Jodie_Foster,"Accused, The",https://en.wikipedia.org/wiki/The_Accused_(1988_film),1976,1994
Jamie Foxx,https://en.wikipedia.org/wiki/Jamie_Foxx,Ray,https://en.wikipedia.org/wiki/Ray_(film),2004,2004
Anthony Franciosa,https://en.wikipedia.org/wiki/Anthony_Franciosa,"Hatful of Rain, A",https://en.wikipedia.org/wiki/A_Hatful_of_Rain,1957,1957
James Franco,https://en.wikipedia.org/wiki/James_Franco,127 Hours,https://en.wikipedia.org/wiki/127_Hours,2010,2010
Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,Million Dollar Baby,https://en.wikipedia.org/wiki/Million_Dollar_Baby,1987,2009
Leonard Frey,https://en.wikipedia.org/wiki/Leonard_Frey,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof_(film),1971,1971
Brenda Fricker,https://en.wikipedia.org/wiki/Brenda_Fricker,My Left Foot,https://en.wikipedia.org/wiki/My_Left_Foot,1989,1989
Clark Gable,https://en.wikipedia.org/wiki/Clark_Gable,It Happened One Night,https://en.wikipedia.org/wiki/It_Happened_One_Night,1934,1939
Lady Gaga,https://en.wikipedia.org/wiki/Lady_Gaga,"Star Is Born, A",https://en.wikipedia.org/wiki/A_Star_Is_Born_(2018_film),2018,2018
Greta Garbo,https://en.wikipedia.org/wiki/Greta_Garbo,Anna Christie,https://en.wikipedia.org/wiki/Anna_Christie_(1930_English-language_film),1930,1939
Andy García,https://en.wikipedia.org/wiki/Andy_Garc%C3%ADa,"Godfather Part III, The",https://en.wikipedia.org/wiki/The_Godfather_Part_III,1990,1990
Vincent Gardenia,https://en.wikipedia.org/wiki/Vincent_Gardenia,Bang the Drum Slowly,https://en.wikipedia.org/wiki/Bang_the_Drum_Slowly_(film),1973,1987
Ava Gardner,https://en.wikipedia.org/wiki/Ava_Gardner,Mogambo,https://en.wikipedia.org/wiki/Mogambo,1953,1953
Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,Hacksaw Ridge,https://en.wikipedia.org/wiki/Hacksaw_Ridge,2016,2016
John Garfield,https://en.wikipedia.org/wiki/John_Garfield,Body and Soul,https://en.wikipedia.org/wiki/Body_and_Soul_(1947_film),1938,1947
William Gargan,https://en.wikipedia.org/wiki/William_Gargan,They Knew What They Wanted,https://en.wikipedia.org/wiki/They_Knew_What_They_Wanted_(film),1940,1940
Judy Garland,https://en.wikipedia.org/wiki/Judy_Garland,"Star Is Born, A",https://en.wikipedia.org/wiki/A_Star_Is_Born_(1954_film),1954,1961
James Garner,https://en.wikipedia.org/wiki/James_Garner,Murphy's Romance,https://en.wikipedia.org/wiki/Murphy%27s_Romance,1985,1985
Teri Garr,https://en.wikipedia.org/wiki/Teri_Garr,Tootsie,https://en.wikipedia.org/wiki/Tootsie,1982,1982
Greer Garson,https://en.wikipedia.org/wiki/Greer_Garson,Mrs. Miniver,https://en.wikipedia.org/wiki/Mrs._Miniver,1939,1960
Janet Gaynor,https://en.wikipedia.org/wiki/Janet_Gaynor,7th Heaven,https://en.wikipedia.org/wiki/7th_Heaven_(1927_film),1927,1937
Michael V. Gazzo,https://en.wikipedia.org/wiki/Michael_V._Gazzo,"Godfather Part II, The",https://en.wikipedia.org/wiki/The_Godfather_Part_II,1974,1974
Leo Genn,https://en.wikipedia.org/wiki/Leo_Genn,Quo Vadis,https://en.wikipedia.org/wiki/Quo_Vadis_(1951_film),1951,1951
Chief Dan George,https://en.wikipedia.org/wiki/Chief_Dan_George,Little Big Man,https://en.wikipedia.org/wiki/Little_Big_Man_(film),1970,1970
Gladys George,https://en.wikipedia.org/wiki/Gladys_George,Valiant Is the Word for Carrie,https://en.wikipedia.org/wiki/Valiant_Is_the_Word_for_Carrie,1936,1936
Paul Giamatti,https://en.wikipedia.org/wiki/Paul_Giamatti,Cinderella Man,https://en.wikipedia.org/wiki/Cinderella_Man,2005,2005
Giancarlo Giannini,https://en.wikipedia.org/wiki/Giancarlo_Giannini,Seven Beauties,https://en.wikipedia.org/wiki/Seven_Beauties,1976,1976
John Gielgud,https://en.wikipedia.org/wiki/John_Gielgud,Arthur,https://en.wikipedia.org/wiki/Arthur_(1981_film),1964,1981
Jack Gilford,https://en.wikipedia.org/wiki/Jack_Gilford,Save the Tiger,https://en.wikipedia.org/wiki/Save_the_Tiger,1973,1973
Lillian Gish,https://en.wikipedia.org/wiki/Lillian_Gish,Duel in the Sun,https://en.wikipedia.org/wiki/Duel_in_the_Sun_(film),1946,1946
Jackie Gleason,https://en.wikipedia.org/wiki/Jackie_Gleason,"Hustler, The",https://en.wikipedia.org/wiki/The_Hustler_(film),1961,1961
James Gleason,https://en.wikipedia.org/wiki/James_Gleason,Here Comes Mr. Jordan,https://en.wikipedia.org/wiki/Here_Comes_Mr._Jordan,1941,1941
Paulette Goddard,https://en.wikipedia.org/wiki/Paulette_Goddard,So Proudly We Hail!,https://en.wikipedia.org/wiki/So_Proudly_We_Hail!,1943,1943
Whoopi Goldberg,https://en.wikipedia.org/wiki/Whoopi_Goldberg,Ghost,https://en.wikipedia.org/wiki/Ghost_(1990_film),1985,1990
Thomas Gomez,https://en.wikipedia.org/wiki/Thomas_Gomez,Ride the Pink Horse,https://en.wikipedia.org/wiki/Ride_the_Pink_Horse,1947,1947
Cuba Gooding Jr.,https://en.wikipedia.org/wiki/Cuba_Gooding_Jr.,Jerry Maguire,https://en.wikipedia.org/wiki/Jerry_Maguire,1996,1996
Dexter Gordon,https://en.wikipedia.org/wiki/Dexter_Gordon,Round Midnight,https://en.wikipedia.org/wiki/Round_Midnight_(film),1986,1986
Ruth Gordon,https://en.wikipedia.org/wiki/Ruth_Gordon,Rosemary's Baby,https://en.wikipedia.org/wiki/Rosemary%27s_Baby_(film),1965,1968
Ryan Gosling,https://en.wikipedia.org/wiki/Ryan_Gosling,Half Nelson,https://en.wikipedia.org/wiki/Half_Nelson_(film),2006,2016
Louis Gossett Jr.,https://en.wikipedia.org/wiki/Louis_Gossett_Jr.,"Officer and a Gentleman, An",https://en.wikipedia.org/wiki/An_Officer_and_a_Gentleman,1982,1982
Elliott Gould,https://en.wikipedia.org/wiki/Elliott_Gould,Bob & Carol & Ted & Alice,https://en.wikipedia.org/wiki/Bob_%26_Carol_%26_Ted_%26_Alice,1969,1969
Gloria Grahame,https://en.wikipedia.org/wiki/Gloria_Grahame,"Bad and the Beautiful, The",https://en.wikipedia.org/wiki/The_Bad_and_the_Beautiful,1947,1952
Cary Grant,https://en.wikipedia.org/wiki/Cary_Grant,Penny Serenade,https://en.wikipedia.org/wiki/Penny_Serenade,1941,1944
Lee Grant,https://en.wikipedia.org/wiki/Lee_Grant,Shampoo,https://en.wikipedia.org/wiki/Shampoo_(film),1951,1976
Richard E. Grant,https://en.wikipedia.org/wiki/Richard_E._Grant,Can You Ever Forgive Me?,https://en.wikipedia.org/wiki/Can_You_Ever_Forgive_Me%3F,2018,2018
Bonita Granville,https://en.wikipedia.org/wiki/Bonita_Granville,These Three,https://en.wikipedia.org/wiki/These_Three,1936,1936
Graham Greene,https://en.wikipedia.org/wiki/Graham_Greene_(actor),Dances with Wolves,https://en.wikipedia.org/wiki/Dances_with_Wolves,1990,1990
Sydney Greenstreet,https://en.wikipedia.org/wiki/Sydney_Greenstreet,"Maltese Falcon, The",https://en.wikipedia.org/wiki/The_Maltese_Falcon_(1941_film),1941,1941
Joel Grey,https://en.wikipedia.org/wiki/Joel_Grey,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(1972_film),1972,1972
Corinne Griffith,https://en.wikipedia.org/wiki/Corinne_Griffith,"Divine Lady, The",https://en.wikipedia.org/wiki/The_Divine_Lady,1929,1929
Hugh Griffith,https://en.wikipedia.org/wiki/Hugh_Griffith,Ben-Hur,https://en.wikipedia.org/wiki/Ben-Hur_(1959_film),1959,1963
Melanie Griffith,https://en.wikipedia.org/wiki/Melanie_Griffith,Working Girl,https://en.wikipedia.org/wiki/Working_Girl,1988,1988
Rachel Griffiths,https://en.wikipedia.org/wiki/Rachel_Griffiths,Hilary and Jackie,https://en.wikipedia.org/wiki/Hilary_and_Jackie,1998,1998
Alec Guinness,https://en.wikipedia.org/wiki/Alec_Guinness,"Bridge on the River Kwai, The",https://en.wikipedia.org/wiki/The_Bridge_on_the_River_Kwai,1952,1988
Edmund Gwenn,https://en.wikipedia.org/wiki/Edmund_Gwenn,Miracle on 34th Street,https://en.wikipedia.org/wiki/Miracle_on_34th_Street,1947,1950
Jake Gyllenhaal,https://en.wikipedia.org/wiki/Jake_Gyllenhaal,Brokeback Mountain,https://en.wikipedia.org/wiki/Brokeback_Mountain,2005,2005
Maggie Gyllenhaal,https://en.wikipedia.org/wiki/Maggie_Gyllenhaal,Crazy Heart,https://en.wikipedia.org/wiki/Crazy_Heart,2009,2009
Joan Hackett,https://en.wikipedia.org/wiki/Joan_Hackett,Only When I Laugh,https://en.wikipedia.org/wiki/Only_When_I_Laugh_(film),1981,1981
